Name,Capacity,Storage Amount,Path Cost,Bus Index,Bus Name,Cap Increase,Price,Constraint Name
Baldy Mesa 2_Silver Peak Hybrid,25,100,5306943.5,263,ROADWAY,1206,334477554.3,Kramer to Victor Area Constraint
Bear Valley Battery Plant,5,5,69121232,252,SAN BERNARDINO,3350,89000000,Etiwanda-Rancho Vista Constraint
CA Bloomington 2551 S Lilac Avenue Micro,1.5,3,7675339,258,VISTA (SCE),3350,89000000,Etiwanda-Rancho Vista Constraint
Aratina Solar Center 1 Hybrid,125,500,2751461.25,86,KRAMER,1206,334477554.3,Kramer to Victor Area Constraint
Condor Energy Storage LLC,200,800,3786426,258,VISTA (SCE),3350,89000000,Etiwanda-Rancho Vista Constraint
"Lockhart ESS, LLC",45,180,6426066.5,167,SANDLOT,1206,334477554.3,Kramer to Victor Area Constraint
Sienna Solar Farm,200,200,50134780,272,VICTOR,1221,338637722.9,Victor to Lugo Area Constraint
Separator (Etiwanda) BESS,112.5,450,266197.25,311,RANCHO VISTA,0,0,SCE Metro Area Default Constraint
Inland Empire Energy Storage,70,200,14568735,237,ETIWANDA,3350,89000000,Etiwanda-Rancho Vista Constraint
Dark Sky Energy Center,7.1,7.1,86808160,130,OCOTILLO,2823,782943728,East of Miguel constraint
EnerSmart Chula Vista Sub Station,3,6,1388909.875,133,OTAY,431,671054000,Miguel 69 kV constraint
Grossmont-Cuyamaca-Cuyamaca Col. Solar &,1,1,10031574,50,EL CAJON,431,671054000,Miguel 69 kV constraint
EnerSmart El Cajon BESS,3,3,6793860.5,50,EL CAJON,431,671054000,Miguel 69 kV constraint
JVR Energy Park LLC,70,70,7855551,48,EAST COUNTY,2823,782943728,East of Miguel constraint
Pala Gomez Creek BESS,10,10,874200.25,137,PALA,692,28300000,Ocean Ranch 69 kV constraint
"Nighthawk Energy Storage, LLC",300,1200,1244862.375,153,POMERADO,936,259594519.8,Internal San Diego Area constraint
Paradise Energy Storage,10,10,10264388,115,MIGUEL,431,671054000,Miguel 69 kV constraint
Clairemont Energy Storage,10,10,7146575.5,81,KEARNEY,16891,940000000,Midway-Q2005 230kV Line
Melrose BESS,10,10,11577947,288,SAN LUIS REY,2201,210600000,Talega 230 kV constraint
Peregrine Energy Storage LLC,200,400,1685280.25,178,SILVERGATE,936,259594519.8,Internal San Diego Area constraint
Amazon SAN3 Solar Project,2.4,8.9,3266198.5,134,OTAY MESA,4754,29971000,Silvergate - Bay Blvd 230 kV constraint
CA Manteca 730 Spreckels Ave,1.5,3,4330228.5,104,MANTECA,1255,1700000000,Kasson Jct-Heinz 115 kV line
Noosa Energy Storage LLC,99,500,384688.0313,235,RIPON,1255,1700000000,Kasson Jct-Heinz 115 kV line
"Cascade Energy Storage, LLC",25,100,241997.5,233,WEBER,460,400000000,Bellota-Weber 230kV line
Kola Energy Center,400,1600,1121767.5,273,TESLA,831,0,Newark-Newark Distribution 115 kV line
Painter Energy Storage,10,20,46394244,64,GOLETA,2000,4358000000,South of Magunden Constraint
Industrial Parkway Storage,9.8,37.6,12603017,111,MESA (N),16891,940000000,Midway-Q2005 230kV Line
Hummingbird Energy Storage LLC,75,75,2302013.5,248,SANTA TERESA,300,0,Tesla-Bellota 230 kV line
Shasta College PH2 Solar Project,0.5,1,20482312,79,JESSUP,8645,2851848000,Vaca Dixon-Tesla 500kV Line
Proxima,162,648,3233301.5,277,STANISLAUS RECOVERY,16891,940000000,Midway-Q2005 230kV Line
Paulsell,15,60,1637299.75,277,STANISLAUS RECOVERY,16891,940000000,Midway-Q2005 230kV Line
Anode 1 (Springville) BESS,112.5,450,372676.1563,184,SPRINGVILLE,2000,4358000000,South of Magunden Constraint
Rexford Solar Farm,300,960,342236.1563,203,VESTAL,2000,4358000000,South of Magunden Constraint
Bottleneck Energy Storage,80,320,752919.5625,203,VESTAL,2000,4358000000,South of Magunden Constraint
"Sierra Energy Storage, LLC",10,40,15396126,245,MELONES (PGE),1255,1700000000,Kasson Jct-Heinz 115 kV line
Black Walnut Energy Storage LLC,15,15,16258948,170,SANTA CLARA,2000,4358000000,South of Magunden Constraint
Santa Paula Energy Storage LLC,30,30,16623179,170,SANTA CLARA,2000,4358000000,South of Magunden Constraint
Gibson Solar Project - Hybrid,13,52,1882298.875,102,MADISON (PGE),1766,700000000,Birds Landing-Contra Costa 230kV Line
"Mesquite Solar 4, LLC",10,47.7,181849184,251,BLYTHE,2823,782943728,East of Miguel constraint
McFarland B Solar and Storage,150,600,143484080,251,BLYTHE,2823,782943728,East of Miguel constraint
McFarland C,185,740,142304880,251,BLYTHE,2823,782943728,East of Miguel constraint
Silver Peak 1,60,240,51257336,180,SLOAN CANYON,1285,356387775.6,GLW 230kV area constraint
Arida Solar (Hybrid),370,1480,19517750,118,MOHAVE,6800,2165000000,Lugo - Victorville area constraint
Silver State South Storage,200,800,3727678.75,154,PRIMM,6800,2165000000,Lugo - Victorville area constraint
Bonanza Solar and Storage Project,195,780,16457488,205,VISTA (VEA),1367,379130030.5,VEA 138kV area constraint
Yellow Pine II,53,212,11853042,196,CRAZY EYES,1285,356387775.6,GLW 230kV area constraint
