IDX,Station,Inc,Cost,Constraint_original,Availability,LATITUDE,LONGITUDE
285,ANTELOPE,2000,100000000,Antelope-Neenach Constraint,586.02,34.68641115,-118.2986931
286,ALAMITOS,800,28000000,Hinson - Del Amo Constraint,640.71,33.77150391,-118.1004734
287,ALBERHILL,3350,89000000,Etiwanda-Rancho Vista Constraint,674.2,33.734235,-117.411747
288,SAN LUIS REY,2201,210600000,Talega 230 kV constraint,679.03,33.21141329,-117.3344571
289,EL SEGUNDO,800,28000000,Hinson - Del Amo Constraint,802.37,33.90847964,-118.4231253
290,CHEVMAIN,800,28000000,Hinson - Del Amo Constraint,832.75,33.90269952,-118.4019889
291,GOULD,0,0,SCE Metro Area Default Constraint,902.19,34.22158736,-118.1870653
292,HINSON,800,28000000,Hinson - Del Amo Constraint,1073.92,33.81929087,-118.2224872
293,CENTER,1058,11000000,Del Amo - Barre Area Constraint,1076.11,33.92888478,-118.1059118
294,JOHANNA,0,0,SCE Metro Area Default Constraint,1103.54,33.71342264,-117.852626
295,LA CIENEGA,800,28000000,Hinson - Del Amo Constraint,1119.52,34.0007949,-118.3784015
296,EL NIDO (SCE),800,28000000,Hinson - Del Amo Constraint,1318.13,33.8959709,-118.3729894
297,PADUA,0,0,SCE Metro Area Default Constraint,1377.64,34.12020534,-117.6393736
298,REDONDO,800,28000000,Hinson - Del Amo Constraint,1399.32,33.84826905,-118.3879624
299,OLINDA,0,0,SCE Metro Area Default Constraint,1415.38,33.9460606,-117.92227
300,RIO HONDO,1058,11000000,Del Amo - Barre Area Constraint,1422.43,34.1056574,-117.9802409
301,LEWIS,0,0,SCE Metro Area Default Constraint,2097.56,33.80954084,-117.898952
302,SANTIAGO,0,0,SCE Metro Area Default Constraint,2254.39,33.66466792,-117.7679976
303,MANNING,16891,940000000,Midway-Q2005 230kV Line,2286.74,36.623295,-120.58289
304,ELLIS (SCE),0,0,SCE Metro Area Default Constraint,2303.19,33.68580576,-117.9431136
305,LA FRESA,800,28000000,Hinson - Del Amo Constraint,2350,33.86967226,-118.3331137
306,LIGHTPIPE,800,28000000,Hinson - Del Amo Constraint,2367.97,33.881267,-118.16124
307,LAGUNA BELL,1058,11000000,Del Amo - Barre Area Constraint,2578.2,33.97607743,-118.1477004
308,VINCENT,1800,660000000,Pardee-Sylmar Constraint,2662.19,34.48629958,-118.1180661
309,BARRE,0,0,SCE Metro Area Default Constraint,2694.69,33.80909589,-117.9833348
310,DEL AMO,800,28000000,Hinson - Del Amo Constraint,2704.27,33.84822318,-118.0971738
311,RANCHO VISTA,0,0,SCE Metro Area Default Constraint,2792.06,34.08807132,-117.5332876
312,VILLA PARK,0,0,SCE Metro Area Default Constraint,2985.7,33.81552513,-117.8344129
313,CHINO,0,0,SCE Metro Area Default Constraint,3000,33.99802136,-117.6784712
314,MIRA LOMA (SCE),0,0,SCE Metro Area Default Constraint,3000,34.00833767,-117.5642853
315,SAN ONOFRE,556,103366000,Trabuco-Capistrano 138 kV constraint,3000,33.36944258,-117.5535743
316,SERRANO,0,0,SCE Metro Area Default Constraint,3000,33.82926372,-117.7893716
