Name,Capacity,Path Cost,Bus Index,Bus Name,Cap Increase,Price,Constraint Name
San Diego - EMDF at San Diego,2.9,3711809.5,134,OTAY MESA,4754,29971000,Silvergate - Bay Blvd 230 kV constraint
San Diego - NCRC at Vista,1.8,8684185,175,SHADOWRIDGE,936,259594519.8,Internal San Diego Area constraint
"Maverick Solar 6, LLC",100,8822812,157,RED BLUFF,5000,1386722862,Devers-Red Bluff Constraint
"Fifth Standard Solar PV, LLC (Hybrid)",150,2744146.5,60,GATES,16891,940000000,Midway-Q2005 230kV Line
Wonderful Orchards - Westside,5,17296916,3,ARCO (PGE),16891,940000000,Midway-Q2005 230kV Line
"ESCA-LL-COLTON, LLC",2.6,5531816,258,VISTA (SCE),3350,89000000,Etiwanda-Rancho Vista Constraint
EMWD - Perris Valley RWRF,3.4,3696968.75,261,VALLEY (SCE),3350,89000000,Etiwanda-Rancho Vista Constraint
EMWD - San Jacinto RWRF NEM,1.3,20711376,261,VALLEY (SCE),3350,89000000,Etiwanda-Rancho Vista Constraint
EMWD - Sun City RWRF,1.6,8772343,261,VALLEY (SCE),3350,89000000,Etiwanda-Rancho Vista Constraint
EMWD - San Jacinto RES BCT,4.2,20375298,261,VALLEY (SCE),3350,89000000,Etiwanda-Rancho Vista Constraint
CSU San Jose State University,1.7,2351452.75,229,SAN JOSE STA. B,712,380000000,Morganhill-Metcalf 115kV Line
El Dorado County,1.5,40523568,63,GOLD HILL,707,125000000,Rocklin-Pleaseant grove 115kV line
California State Univ at Channel Islands,3.7,23771760,119,MOORPARK,2000,4358000000,South of Magunden Constraint
EMWD - Moreno Valley RWRF,2.4,16988484,261,VALLEY (SCE),3350,89000000,Etiwanda-Rancho Vista Constraint
Amazon - Stockton - Roof (SCK1) - (CA),2.6,4215084,233,WEBER,460,400000000,Bellota-Weber 230kV line
Vallecitos Water District,1.4,14803627,175,SHADOWRIDGE,936,259594519.8,Internal San Diego Area constraint
Byron Highway Solar,5,6225711,82,KELSO,6034,417332000,Windmaster-Delta pumps 230 kV line
Arlington Energy Center II,100,15536631,29,COLORADO RIVER,5000,1386722862,Devers-Red Bluff Constraint
Resurgence Solar,90,2205617,86,KRAMER,1206,334477554.3,Kramer to Victor Area Constraint
Hudson - High Desert Hybrid,100,7649214,263,ROADWAY,1206,334477554.3,Kramer to Victor Area Constraint
"Rabbitbrush Solar, LLC",100,11859663,283,WHIRLWIND,1500,13200000,Antelope-Vincent Constraint
Rexford Solar Farm,300,342236.1563,203,VESTAL,2000,4358000000,South of Magunden Constraint
Lake Herman,5,29573224,197,TULUCAY,861,0,Lakeville-Ignacio 230 kV line
Dos Palos,1,30250644,38,DAIRYLAND,358,125000000,Merced 115/70kV TB#2
"El Dorado Solar, LLC",1.5,9624024,63,GOLD HILL,707,125000000,Rocklin-Pleaseant grove 115kV line
Amazon PSP1,3.8,12322499,256,EL CASCO,3350,89000000,Etiwanda-Rancho Vista Constraint
Redwood Coast Airport Microgrid,2.2,31290658,222,FAIRWAY (PGE),16891,940000000,Midway-Q2005 230kV Line
Daggett 2,182,384688.0313,32,COOL WATER,1206,334477554.3,Kramer to Victor Area Constraint
Deer Creek 2,1.3,21486826,63,GOLD HILL,707,125000000,Rocklin-Pleaseant grove 115kV line
Chaparral Springs,102,11446451,283,WHIRLWIND,1500,13200000,Antelope-Vincent Constraint
Edwards Sanborn E3,27.1,20993940,210,WINDHUB,2500,612000000,Windhub Constraint
Edwards Sanborn E1A,149.3,19756530,210,WINDHUB,2500,612000000,Windhub Constraint
Edwards Sanborn E2,137.8,21380908,210,WINDHUB,2500,612000000,Windhub Constraint
Scarlet Solar (CA),200,17403518,109,MENDOTA,0,0,Moss Landing-Las Aguilas 230 kV Line
Luciana,55.8,3128901.25,203,VESTAL,2000,4358000000,South of Magunden Constraint
Trona Solar III,2,56951116,77,INYOKERN,186,329000000,Control to Inyokern area constraint
Edwards Sanborn S3,37.7,17793436,210,WINDHUB,2500,612000000,Windhub Constraint
Edwards Sanborn S1,44.6,16642753,210,WINDHUB,2500,612000000,Windhub Constraint
"BigBeau Solar, LLC",70,12954448,283,WHIRLWIND,1500,13200000,Antelope-Vincent Constraint
Blythe Mesa Solar II,223.6,9028916,251,BLYTHE,2823,782943728,East of Miguel constraint
Fremont CA AutoFactory,0.3,5074576.5,124,NEWARK,653,0,Sobrante-Moraga 230 kV line
Berrenda Mesa Water District,6.4,19699098,3,ARCO (PGE),16891,940000000,Midway-Q2005 230kV Line
IGS KSBD,4.3,3162504.75,252,SAN BERNARDINO,3350,89000000,Etiwanda-Rancho Vista Constraint
