NAME,ZIP,LATITUDE,LONGITUDE
LOS ALTOS,94022,37.3938331,-122.1147241
DIAMOND SPRINGS,95667,38.69335642,-120.8258682
HEMET,92543,33.74683807,-116.975723
RINCON,92082,33.28581298,-116.9586653
UNKNOWN302253,95838,38.65538798,-121.4662616
ARVIN EDISON,93307,35.31705193,-118.9332028
FLANNIGAN,96003,40.67898138,-122.4250785
STATION B,92101,32.71413148,-117.1694909
UNKNOWN302260,91040,34.25927326,-118.3213031
HEALDSBURG,95448,38.60982305,-122.856271
AGRICO,93630,36.61766221,-120.0998656
UNKNOWN302271,93514,37.35009447,-118.4630308
UNKNOWN302272,93501,35.07878029,-118.3091671
MCCLELLAN,95652,38.65231265,-121.393628
DERRICK,93210,36.22646371,-120.3378862
MERIDIAN,95957,39.14483341,-121.9105698
STANISLAUS,95346,38.13779911,-120.3701563
UNKNOWN302293,92394,34.56624176,-117.3165282
TRISONIC,90245,33.92129746,-118.385597
BANGOR,95914,39.38764488,-121.4031286
RISER302306,92627,33.652236,-117.935946
EL CAJON,92020,32.79525278,-116.9727194
FOLSOM,95630,38.70733361,-121.1615957
WILDE,92342,34.78592505,-117.248028
VULCAN,92233,33.16232283,-115.6177623
SANTA ANA 1,92359,34.14561,-117.0590586
NEW MOCCASIN CR,95321,37.80942283,-120.2988375
CHESTER,96020,40.30249685,-121.2269939
BOWLES,93725,36.60559511,-119.7732927
MAXWELL,92557,33.94723673,-117.2433888
CHOLAME,93461,35.6865323,-120.336198
CARMICHAEL,95608,38.64358649,-121.3291
UNKNOWN302332,93245,36.30527481,-119.7930724
UNKNOWN302333,93251,35.27225597,-119.4741126
DEADEND302335,90280,33.95915482,-118.2247596
FAIR OAKS,91001,34.19144753,-118.1484136
VIERRA,95330,37.79788174,-121.2741958
CUYAMA,93254,34.92756375,-119.6215021
UNKNOWN302343,93066,34.26343279,-119.0118763
SEGS 4,93555,35.01550146,-117.5657585
COW CREEK,96096,40.57089951,-122.0208247
GRAPELAND,91730,34.09047236,-117.5332934
UNKNOWN302355,93501,35.01716213,-118.1848348
ROSEMORE B,95358,37.64244243,-121.0431
HOLLISTER,95023,36.86284771,-121.4060835
PACIFIC LUMBER,95565,40.48088537,-124.1039676
BREW,91706,34.12718692,-117.9399034
FAIRFAX,90046,34.0899383,-118.360892
EUREKA STA A,95501,40.79370515,-124.1832439
HANFORD SWITCHING STATION,93230,36.31293362,-119.6543988
PEREZ,92882,33.881912,-117.5884837
GOLD COUNTRY,95670,38.62742083,-121.2293908
PLUMAS SIERRA REA,95971,39.93491576,-120.8844065
RISER302397,91706,34.10686,-117.929172
UNKNOWN302398,93536,34.82902599,-118.5114293
FAYETTE ENERGY CORP,95391,37.74739699,-121.5983701
RAMONA,91803,34.06992045,-118.1300424
TRINITY,96093,40.71789291,-122.9343727
BORDER,92154,32.5662178,-116.9444316
AMARGO,93516,35.00022411,-117.6492263
EL CAMINO TAP,95825,38.610678,-121.410562
TAP302418,93268,35.10821122,-119.4033777
TAP302423,95615,38.27723267,-121.5154487
SUNOL TAP,94586,37.58636254,-121.8699994
TAP302426,95624,38.41320684,-121.3202121
LAMMERS TAP,95377,37.71238246,-121.4781045
WILMINGTON (STATION C) TAP,90745,33.84712563,-118.2838981
TAP302436,94565,38.01267991,-121.8543525
TANKER TAP,92553,33.9063264,-117.2434654
TAP302440,91706,34.12235,-117.977469
TAP302444,93249,35.517326,-119.758591
TAP302446,92324,34.051632,-117.340589
TAP302447,93536,34.8080132,-118.7218404
TAP302448,93536,34.71891561,-118.1791182
TAP302449,96101,41.48841626,-120.5860387
EDENVALE TAP,95120,37.2211887,-121.7940885
TAP302452,93308,35.42656122,-119.0131245
TAP302453,92408,34.086242,-117.28189
TAP302454,93117,34.45929847,-119.8801589
TAP302456,90220,33.86424364,-118.2220299
TAP302457,95963,39.761953,-122.197037
TAP302461,95932,39.21731797,-122.0259799
TAP302464,95062,36.97380603,-121.9733234
TAP302469,93536,34.76501639,-118.7224604
VACAVILLE TAP,95688,38.40284997,-121.9606481
TAP302475,93215,35.83387619,-119.2501235
EDES TAP 2,94621,37.73690759,-122.1987211
TAP302482,92338,35.04962405,-116.4402614
TAP302483,95354,37.63796826,-120.9300816
SHREDDER TAP,94063,37.51120993,-122.2069288
TAP302490,95354,37.640222,-121.003425
TAP302491,93033,34.18221474,-119.1180887
TAP302492,94580,37.67652283,-122.1350703
TAP302499,93301,35.39730468,-119.0072013
AUBURN WATT TAP 1,95821,38.63419227,-121.3827489
GEYSERS TAP 1,95448,38.75428321,-122.75439
TAP302504,93274,36.12343127,-119.3040339
TAP302505,95203,37.95598827,-121.3331514
TAP302507,95742,38.584759,-121.265508
TAP302513,92056,33.1749636,-117.2795398
TAP302514,90755,33.80429248,-118.1586491
TAP302516,93307,35.29570192,-119.0027542
TAP302519,93063,34.27909629,-118.721957
TAP302521,95660,38.65788032,-121.3838065
TAP302526,93436,34.70062807,-120.4364428
TAP302527,92282,33.92943082,-116.6805055
TAP302528,93444,35.06681441,-120.4808177
TAP302532,95987,39.11943583,-122.1328876
S.L.A.C. TAP,94062,37.38793424,-122.2887459
SS3145_EAGLE ROCK TAP 2,90065,34.10508454,-118.2379606
TAP302539,93306,35.428396,-118.81888
TAP302541,90604,33.92526,-118.0245151
TAP302544,92324,34.05154333,-117.3404385
