Station,Inc,Cost,Constraint_original
ELK HILLS,16891,940000000,Midway-Q2005 230kV Line
ELLIOTT,936,259594519.8,Internal San Diego Area constraint
ELLIS (SCE),0,0,SCE Metro Area Default Constraint
ENCINA,746,206899051,Encina - San Luis Rey 230 kV constraint
ESCONDIDO,936,259594519.8,Internal San Diego Area constraint
ETIWANDA,3350,89000000,Etiwanda-Rancho Vista Constraint
EVERGREEN (PGE),712,380000000,Morganhill-Metcalf 115kV Line
EXCELSIOR,0,0,Moss Landing-Las Aguilas 230 kV Line
EXCHEQUER,0,0,Moss Landing-Las Aguilas 230 kV Line
FAIRWAY (PGE),16891,940000000,Midway-Q2005 230kV Line
FAMOSO,637,760000000,Semitropic-Midway 115kV Line
FIBERBOARD,131,185000000,Contra Costa #1 115kV Line
FIG GARDEN,0,0,Moss Landing-Las Aguilas 230 kV Line
STANISLAUS RECOVERY,16891,940000000,Midway-Q2005 230kV Line
FMC,712,380000000,Morganhill-Metcalf 115kV Line
FROGTOWN,1255,1700000000,Kasson Jct-Heinz 115 kV line
FULTON (PGE),1766,700000000,Birds Landing-Contra Costa 230kV Line
GAMEBIRD,1285,356387775.6,GLW 230kV area constraint
GANSO,16891,940000000,Midway-Q2005 230kV Line
GATES,16891,940000000,Midway-Q2005 230kV Line
GEYSERS TAP 1,1766,700000000,Birds Landing-Contra Costa 230kV Line
GEYSERS 3,1766,700000000,Birds Landing-Contra Costa 230kV Line
GLENN (PGE),1766,700000000,Birds Landing-Contra Costa 230kV Line
GOLD HILL,707,125000000,Rocklin-Pleaseant grove 115kV line
GOLETA,2000,4358000000,South of Magunden Constraint
GOODRICH,0,0,SCE Metro Area Default Constraint
GOOSE LAKE,16891,940000000,Midway-Q2005 230kV Line
GOULD,0,0,SCE Metro Area Default Constraint
GRANT,6034,417332000,Windmaster-Delta pumps 230 kV line
GREEN VALLEY (PGE),712,380000000,Morganhill-Metcalf 115kV Line
GREGG,0,0,Moss Landing-Las Aguilas 230 kV Line
GRIMMWAY-MALAGA,637,760000000,Semitropic-Midway 115kV Line
GWF 2,0,0,Moss Landing-Las Aguilas 230 kV Line
HARBORGEN,800,28000000,Hinson - Del Amo Constraint
HASSAYAMPA,2823,782943728,East of Miguel constraint
HELM,0,0,Moss Landing-Las Aguilas 230 kV Line
HENRIETTA,0,0,Moss Landing-Las Aguilas 230 kV Line
HERNDON,0,0,Moss Landing-Las Aguilas 230 kV Line
HICKS,300,0,Tesla-Bellota 230 kV line
HIGGINS,574,0,Rio Oso-Brighton 230kV line
HILLTOP,8645,2851848000,Vaca Dixon-Tesla 500kV Line
MADELINE,8645,2851848000,Vaca Dixon-Tesla 500kV Line
LEAVITT,8645,2851848000,Vaca Dixon-Tesla 500kV Line
HINSON,800,28000000,Hinson - Del Amo Constraint
HOLLISTER,712,380000000,Morganhill-Metcalf 115kV Line
HOMESTAKE,1766,700000000,Birds Landing-Contra Costa 230kV Line
HONCUT,707,125000000,Rocklin-Pleaseant grove 115kV line
HOODOO WASH,2823,782943728,East of Miguel constraint
HOPLAND,50,50000000,Cortina-Eagle Rock 115 kV line
HUNTINGTON BEACH,0,0,SCE Metro Area Default Constraint
IGNACIO,50,50000000,Cortina-Eagle Rock 115 kV line
IMPERIAL VALLEY,2823,782943728,East of Miguel constraint
INNOVATION,1285,356387775.6,GLW 230kV area constraint
INYOKERN,186,329000000,Control to Inyokern area constraint
IVANPAH,6800,2165000000,Lugo - Victorville area constraint
JACKASS FLATS,1367,379130030.5,VEA 138kV area constraint
JACKSON,0,0,Jacksson-Waukena_x0002_Corcoran 115kV line
JESSUP,8645,2851848000,Vaca Dixon-Tesla 500kV Line
JOHANNA,0,0,SCE Metro Area Default Constraint
JULIAN HINDS,600,1182000000,Eagle Mountain Constraint
KASSON,70,0,Tesla-Salado 115 kV line
KEARNEY,16891,940000000,Midway-Q2005 230kV Line
KELSO,6034,417332000,Windmaster-Delta pumps 230 kV line
KERN OIL,637,760000000,Semitropic-Midway 115kV Line
KERN,16891,940000000,Midway-Q2005 230kV Line
KERNRIDGE,784,150000000,Midway 230/115kV TB #3
KIRKER,978,271242991.8,Dumbarton-Newark 115 kV line
KNIGHTS LANDING,109,9329000,Woodland- Davis 115kV line
KRAMER,1206,334477554.3,Kramer to Victor Area Constraint
ROADWAY,1206,334477554.3,Kramer to Victor Area Constraint
LA CIENEGA,800,28000000,Hinson - Del Amo Constraint
LA FRESA,800,28000000,Hinson - Del Amo Constraint
LAGUNA BELL,1058,11000000,Del Amo - Barre Area Constraint
LAKEVIEW,16891,940000000,Midway-Q2005 230kV Line
LAKEVILLE,861,0,Lakeville-Ignacio 230 kV line
LAMBIE,1766,700000000,Birds Landing-Contra Costa 230kV Line
LAMMERS,1255,1700000000,Kasson Jct-Heinz 115 kV line
LAMONT,16891,940000000,Midway-Q2005 230kV Line
LAS AGUILAS,0,0,Moss Landing-Las Aguilas 230 kV Line
LATHROP,1367,379130030.5,VEA 138kV area constraint
LE GRAND,0,0,Moss Landing-Las Aguilas 230 kV Line
LERDO,637,760000000,Semitropic-Midway 115kV Line
LEWIS,0,0,SCE Metro Area Default Constraint
LIGHTPIPE,800,28000000,Hinson - Del Amo Constraint
LINCOLN (PGE),109,9329000,Woodland- Davis 115kV line
LIVE OAK,637,760000000,Semitropic-Midway 115kV Line
LLAGAS,712,380000000,Morganhill-Metcalf 115kV Line
LOCKEFORD,460,400000000,Bellota-Weber 230kV line
LOGAN CREEK,1766,700000000,Birds Landing-Contra Costa 230kV Line
LONE TREE,6034,417332000,Windmaster-Delta pumps 230 kV line
LOS BANOS,16891,940000000,Midway-Q2005 230kV Line
LOS ESTEROS,348,96515911.21,Los Esteros-Silicon Valley 230 kV
LAS POSITAS,6034,417332000,Windmaster-Delta pumps 230 kV line
LOVELAND,431,671054000,Miguel 69 kV constraint
LUGO,0,0,SCE Metro Area Default Constraint
LUGO,1178,326711906.3,Lugo Transformer Area Constraint
COTTONWOOD (SCE),1046,239000000,Calcite to Lugo Area Constraint
MADISON (PGE),1766,700000000,Birds Landing-Contra Costa 230kV Line
MAGUNDEN,2000,4358000000,South of Magunden Constraint
MANNING,16891,940000000,Midway-Q2005 230kV Line
MANTECA,1255,1700000000,Kasson Jct-Heinz 115 kV line
MARGARITA,556,103366000,Trabuco-Capistrano 138 kV constraint
MARIPOSA (PGE),6034,417332000,Windmaster-Delta pumps 230 kV line
MARTIN,653,0,Sobrante-Moraga 230 kV line
MARTINEZ,978,271242991.8,Dumbarton-Newark 115 kV line
MC MULLIN,0,0,Moss Landing-Las Aguilas 230 kV Line
MCCALL,16891,940000000,Midway-Q2005 230kV Line
MCCULLOUGH,6800,2165000000,Lugo - Victorville area constraint
MEAD,5000,1386722862,Devers-Red Bluff Constraint
MELONES (PGE),1255,1700000000,Kasson Jct-Heinz 115 kV line
MENDOCINO,1766,700000000,Birds Landing-Contra Costa 230kV Line
MENDOTA,0,0,Moss Landing-Las Aguilas 230 kV Line
MERCED (PGE),16891,940000000,Midway-Q2005 230kV Line
MERCURY,1367,379130030.5,VEA 138kV area constraint
MESA (N),16891,940000000,Midway-Q2005 230kV Line
MESA (SCE),1058,11000000,Del Amo - Barre Area Constraint
METCALF 1,712,380000000,Morganhill-Metcalf 115kV Line
MIDWAY,8379,214062000,Gates-Panoche 230 kV #1 and #2 Lines
MIGUEL,431,671054000,Miguel 69 kV constraint
MILLER (PGE),1255,1700000000,Kasson Jct-Heinz 115 kV line
MIRA LOMA (SCE),0,0,SCE Metro Area Default Constraint
MIRAGE,5000,1386722862,Devers-Red Bluff Constraint
MISSION,936,259594519.8,Internal San Diego Area constraint
MI-WUK,1255,1700000000,Kasson Jct-Heinz 115 kV line
MOHAVE,6800,2165000000,Lugo - Victorville area constraint
MONROE,861,0,Lakeville-Ignacio 230 kV line
MONTA VISTA,653,0,Sobrante-Moraga 230 kV line
MONTICELLO,548,0,Eastshore-San Mateo 230 kV line
MOORPARK,2000,4358000000,South of Magunden Constraint
MORAGA,6034,417332000,Windmaster-Delta pumps 230 kV line
MORGAN HILL,712,380000000,Morganhill-Metcalf 115kV Line
MORRO BAY,16891,940000000,Midway-Q2005 230kV Line
