Name,Availability
TIVY VALLEY 70 kV,-689.05
TORREY PINES 69 kV,-194.41
TORTILLA 115 kV,-712.72
TRABUCO 138 kV,199.04
TRACY 115 kV,122.71
TRANQUILLITY SW STA 230 kV,"-1,120.24"
TRIMBLE 115 kV,58.28
TRINITY 115 kV,"-5,353.15"
TRINITY 60 kV,"-5,352.90"
TROUT CANYON 230 kV,"-1,011.76"
TULUCAY 230 kV,"-3,361.52"
TULUCAY 60 kV,"-3,361.52"
TUPMAN 115 kV,-981.16
UCM 69 kV,-194.41
UKIAH 115 kV,"-3,920.60"
UNIONPGAE 70 kV,-291.3
URBAN 69 kV,"-1,322.39"
VACA DIXON 115 kV,"-3,063.81"
VACA DIXON 230 kV,"-3,063.81"
VACA DIXON 500 kV,"-1,934.96"
VACA DIXON 60 kV,"-3,063.81"
VACAVILLE 115 kV,"-3,063.81"
VALLECITOS 60 kV,"-2,931.35"
VALLEY (SCE) 500 kV,183.84
VALLEY (VEA) 138 kV,"-1,020.53"
VALLEY CENTER 69 kV,-238.03
VALLEY HOME 115 kV,54.42
VALLEY SPRINGS 230 kV,67.69
VALLEY SPRINGS 60 kV,67.69
VALLEY SWITCH 138 kV,"-1,020.81"
VASONA 230 kV,97.28
VESTAL 230 kV,-50.44
VICTOR 115 kV,263.27
VICTOR 230 kV,263.27
VIERRA 115 kV,29.31
VILLA PARK 230 kV,"2,985.70"
VINCENT 230 kV,"3,280.08"
VINCENT 230 kV,"2,662.19"
VINCENT 500 kV,"3,787.48"
VINE 69 kV,"-2,639.57"
VINEYARD 230 kV,"-2,845.67"
VISTA 138 kV,"-1,021.06"
VISTA 230 kV,114.66
WABASH CANYON 69 kV,"-1,223.98"
WAHTOKE 115 kV,-684.97
WALNUT 230 kV,506.13
WARNERS 69 kV,-252.47
WAUKENA SW STA 115 kV,-626.68
WEBER 230 kV,452.23
WEBER 60 kV,34.73
WEIMAR 60 kV,"-10,370.52"
WEST FRESNO 115 kV,-686.95
WEST SACRAMENTO 115 kV,-79.54
WESTPARK 115 kV,"-1,010.89"
WHEELER RIDGE 115 kV,"-1,024.40"
WHEELER RIDGE 230 kV,"-1,024.40"
WHEELER RIDGE 70 kV,"-1,024.40"
WHIRLWIND 230 kV,532.44
WHIRLWIND 500 kV,"1,092.55"
WHISMAN 115 kV,84.68
WILLITS A 60 kV,"-3,891.69"
WILSON 115 kV,-463.9
WILSON 230 kV,-457.62
WINDHUB 230 kV,-8.41
WINDHUB 230 kV,81.35
WINDHUB 500 kV,218.65
WINDSOR 60 kV,"-4,856.10"
WITCO SW STA 115 kV,"-1,010.89"
WOLFE 115 kV,40.07
WOODLAND 115 kV,-70.33
WOODWARD 115 kV,-755.95
WYANDOTTE 115 kV,"-4,930.02"
