Name,Availability
DELEVAN 230 kV,"-3,795.59"
DESCANSO 69 kV,"-3,865.10"
DESCHUTES 60 kV,"-5,344.12"
DESERT VIEW 230 kV,"-1,077.18"
DEVERS 230 kV,202.87
DEVERS 500 kV,276.27
DIABLO CANYON 230 kV,-350.04
DIABLO CANYON 500 kV,392.74
DINUBA 70 kV,-689.05
DIVIDE 115 kV,-353.93
DIVIDE 70 kV,-353.93
DIVISION 69 kV,"-1,132.20"
DIXON 60 kV,"-4,032.18"
DIXON LANDING 115 kV,292.42
DOLAN RD 115 kV,92
DRUM 1 PH 115 kV,"-10,472.33"
DUMBARTON 115 kV,-222.3
EAGLE MOUNTAIN 230 kV,72.21
EAGLE ROCK 115 kV,"-4,040.08"
EAGLE ROCK 230 kV,"1,016.58"
EAGLE ROCK 60 kV,"-4,030.10"
EAST COUNTY 138 kV,"-2,839.73"
EAST COUNTY 230 kV,"-2,839.73"
EAST COUNTY 500 kV,"-2,839.73"
EAST GRAND 115 kV,-319.22
EAST MARYSVILLE 115 kV,"-6,085.42"
EAST NICOLAUS 115 kV,"-8,375.80"
EAST NICOLAUS 60 kV,"-8,375.80"
EASTGATE 69 kV,-205.32
EASTSHORE 115 kV,-179.92
EASTSHORE 230 kV,-176.65
EDENVALE 115 kV,84.74
EDES 115 kV,"-3,166.67"
EGBERT 230 kV,-354.75
EIGHT MILE 230 kV,186.63
EL CAJON 69 kV,-272.59
EL CAPITAN 115 kV,-463.89
EL CASCO 230 kV,112.99
EL CERRITO G 115 kV,"-2,929.71"
EL DORADO PH 115 kV,"-16,951.57"
EL NIDO 230 kV,"1,318.13"
EL PATIO 115 kV,27.69
EL SEGUNDO 230 kV,802.37
ELDORADO 230 kV,"-1,393.45"
ELDORADO 500 kV,-988.54
ELECTRA PH 230 kV,111.52
ELLIOTT 69 kV,-263.03
ELLIS 230 kV,"2,303.19"
ENCINA 138 kV,-132.14
ENCINA 230 kV,-119.59
ENCINITAS 69 kV,-198.98
ESCO 69 kV,-214.38
ESCONDIDO 230 kV,-169.05
ESCONDIDO 69 kV,-214.02
ESTRELLA 230 kV,-288.35
ETIWANDA 230 kV,44.47
EUREKA E 60 kV,"-5,353.22"
EVERGREEN 115 kV,30.89
EVERGREEN 60 kV,30.89
EXCELSIOR SW STA 115 kV,-530.52
EXCHEQUER PH 70 kV,-461.81
FAIRHAVEN 60 kV,"-5,353.22"
FAMOSO 115 kV,-981.16
FELICITA 69 kV,-214.22
FELLOWS 115 kV,-983.06
FERN ROAD 500 kV,"-3,840.50"
FIGARDEN 230 kV,-325.36
FINK SW STA 230 kV,446.6
FITCH MOUNTAIN 60 kV,"-4,796.33"
FIVE POINTS SW STA 70 kV,-348.45
FMC 115 kV,46.77
FORT ORD 60 kV,55.36
FREMONT 115 kV,282.82
FRENCH CAMP 60 kV,50.17
FRIARS 138 kV,-263.31
FROGTOWN 115 kV,58.4
FULTON 115 kV,"-5,019.84"
FULTON 230 kV,"-5,152.07"
FULTON 60 kV,"-4,985.32"
GALLO 115 kV,-463.89
GAMEBIRD 138 kV,"-1,021.43"
GAMEBIRD 230 kV,"-1,020.31"
GARBERVILLE 60 kV,"-5,353.28"
GARFIELD 69 kV,-273.21
GATES 230 kV,-218.06
GATES 500 kV,698.85
GENESEE 69 kV,-194.41
GEYSERS 3 115 kV,"-4,036.96"
GEYSERVILLE 60 kV,"-4,797.31"
GLASS 70 kV,-338.17
GLENCLIFF 69 kV,"-3,865.10"
GLENN 230 kV,"-3,939.79"
GLENN 60 kV,"-3,939.79"
GLENWOOD 60 kV,"-3,695.22"
GOLD HILL 115 kV,"-16,951.57"
GOLD HILL 230 kV,"-17,488.23"
GOLETA 230 kV,-39.13
GOULD 230 kV,902.19
GRAND ISLAND 115 kV,-89.47
GRANITE 69 kV,-266.88
GRANT 115 kV,-164.2
GRANT HILL 138 kV,-280.51
GREEN VALLEY 115 kV,53.25
GREENBRAE 60 kV,"-6,109.92"
GREGG 230 kV,-324.73
GUERNSEY 70 kV,-420.29
GWF HANFORD SW STA 115 kV,-510.72
HALF MOON BAY 60 kV,57.78
HALSEY PH 60 kV,"-14,609.04"
HAMMER 60 kV,114.85
HAMMONDS 115 kV,-783.29
HARDING 60 kV,56.05
HARRIS 60 kV,"-5,353.22"
HARTLEY 60 kV,"-3,968.77"
HELM 230 kV,-602.87
HELM 70 kV,-602.87
HENRIETTA 115 kV,-435.88
HENRIETTA 230 kV,-420.29
HENRIETTA 70 kV,-420.29
HERDLYN 60 kV,44.15
HERNDON 115 kV,-319.26
HERNDON 230 kV,-325.7
HICKS 230 kV,112.43
HIGGINS 115 kV,"-13,302.12"
HIGHLANDS 115 kV,"-3,746.66"
HINSON 230 kV,"1,073.92"
HOPLAND 115 kV,"-3,990.06"
HOPLAND 60 kV,"-4,038.19"
HORSESHOE 115 kV,"-15,931.81"
HUMBOLDT 115 kV,"-5,353.22"
HUMBOLDT 60 kV,"-5,353.22"
HUMBOLDT BAY PP 60 kV,"-5,353.22"
IGNACIO 115 kV,"-6,109.92"
IGNACIO 230 kV,"-6,109.92"
IGNACIO 60 kV,"-6,109.92"
IMPERIAL BEACH 69 kV,"-1,611.28"
IMPERIAL VALLEY 230 kV,"-4,661.36"
IMPERIAL VALLEY 500 kV,"-4,959.19"
INNOVATION 138 kV,"-1,020.41"
INNOVATION 230 kV,"-1,020.17"
INYOKERN 115 kV,-43.01
IVANPAH 115 kV,"-1,110.84"
IVANPAH 230 kV,"-1,053.12"
JAMACHA 69 kV,"-1,945.38"
JAMES B BLACK PH 230 kV,"-4,413.39"
JANES CREEK 60 kV,"-5,353.22"
JAPANESE MESA 69 kV,43.23
JARVIS 115 kV,-417.39
JAYNE SW STA 70 kV,-245.52
JEFFERSON 230 kV,100.64
JEFFERSON 60 kV,119.99
JESSUP 115 kV,"-5,352.40"
JOHANNA 230 kV,"1,103.54"
JULIAN HINDS 230 kV,-108.88
JULIAN HINDS 230 kV,-108.36
KASSON 115 kV,82.01
KASSON 60 kV,88.38
KEARNEY 230 kV,-387.73
KEARNEY 70 kV,-387.73
KEARNY WEST 69 kV,-262.74
KELSO 230 kV,"-2,540.76"
KENT SW STA 70 kV,-420.29
KERCKHOFF 1 PH 115 kV,-757.75
KERCKHOFF 2 PH 115 kV,-757.75
KERMAN 70 kV,-602.87
KERN OIL 115 kV,"-1,010.89"
KERN PP 115 kV,"-1,010.89"
KERN PP 230 kV,"-1,011.20"
KERN PP 70 kV,"-1,010.05"
KETTNER 69 kV,"-2,051.42"
KING CITY 60 kV,-101.12
KING CITY 60 kV,-5.55
KINGSBURG 115 kV,-626.59
KINGSBURG 70 kV,-626.8
KIRKER 115 kV,-87.26
KONOCTI 60 kV,"-4,011.11"
KRAMER 115 kV,-43.01
KRAMER 230 kV,-41.55
LA CIENEGA 230 kV,"1,119.52"
LA FRESA 230 kV,"2,350"
LA JOLLA 69 kV,-229.61
LAGUNA BELL 230 kV,"2,578.20"
LAGUNA NIGEL 138 kV,236.79
LAKE HODGES MTR 69 kV,-209.5
LAKEVIEW 70 kV,"-1,024.40"
LAKEVILLE 115 kV,"-5,057.31"
LAKEVILLE 230 kV,"-5,062.54"
LAKEVILLE 60 kV,"-5,059.54"
LAKEWOOD 115 kV,"-2,336.06"
LAMBIE SW STA 230 kV,"-3,403.63"
LAMMERS 115 kV,51.72
LAMONT 115 kV,"-1,014.72"
LAS AGUILAS SW STA 230 kV,"-1,077.06"
LAS GALLINAS A 115 kV,"-6,109.92"
LAS POSITAS 230 kV,"-3,152.57"
LAS POSITAS 60 kV,"-5,952.69"
