load,solar_dispatch,wind_dispatch,gas_dispatch,curtailment,StoreIn,StoreOut,InStorage,solar_available,wind_available
1695.8504347826088,0.015168269999999996,164.30834428229596,1299.3100000000002,-3.126388037344441e-13,0.0,250.4059470886179,9821.0,0.015168270000000005,164.30834428229565
1640.6921739130435,0.015168269999999996,162.58097101022636,0.0,-2.8421709430404007e-13,0.0,1593.871944754622,8102.283680659515,0.015168270000000005,162.58097101022608
1588.5456521739131,0.015168269999999996,156.56454130471334,0.0,-3.126388037344441e-13,0.0,1544.1285872334743,6437.207003218585,0.015168270000000005,156.56454130471303
1558.5639130434784,0.015168269999999996,153.11861290368722,0.0,-2.8421709430404007e-13,0.0,1515.5142866319375,4802.98591964906,0.015168270000000005,153.11861290368694
1575.713043478261,0.015168269999999996,150.23563657358292,0.0,-3.126388037344441e-13,0.0,1537.1154628875884,3145.4716886785036,0.015168270000000005,150.2356365735826
1637.5165217391304,0.015168269999999996,146.71103894866113,87.26266199600764,-2.5579538487363607e-13,0.0,1513.462790394246,1513.462790394246,0.015168270000000005,146.71103894866087
1761.7060869565216,1.8061067081999997,145.93106503493942,938.653068298993,-3.126388037344441e-13,0.0,728.2118056100726,728.2118056100726,1.8061067081999995,145.9310650349391
1978.3660869565215,2544.187603901195,144.47699179553078,0.0,1.0231815394945443e-12,658.7037387976171,0.0,1339.068523126648,3254.4861126414003,144.47699179553047
2246.2234782608693,4239.10738077343,141.19574255700903,0.0,1.3642420526593924e-12,1979.0640467378064,0.0,3174.377017886477,6373.187025843,141.19574255700869
2386.1139130434785,4725.80721045904,137.31220363085245,0.0,-9.094947017729282e-13,2805.5669669490535,591.2634466909197,5138.577017886477,7751.127874999797,137.31220363085217
2445.9647826086953,4880.091292411512,139.493836135896,0.0,-1.0459189070388675e-11,3149.641165310293,887.1672572815858,7102.777017886477,8276.436706922685,139.49383613589566
2457.99,4930.32297527373,143.15513027772204,0.0,1.5916157281026244e-11,3298.744709822452,1015.3963055620424,9066.977017886476,8487.450876777013,143.15513027772175
2382.006956521739,4859.793101148298,151.0200613507481,0.0,9.549694368615746e-12,3346.1744265790103,1056.1858619726825,11031.177017886477,8468.065781552705,151.0200613507478
2316.688695652174,4732.16573823495,161.02923161506124,0.0,1.3642420526593924e-12,3159.9188141891304,896.0060353173859,12995.377017886478,8139.593826552299,161.02923161506087
2214.4834782608696,4480.4636460707625,167.37091531951333,0.0,2.7284841053187847e-12,2650.100600818002,457.56237181821547,14959.577017886479,7338.140616613801,167.370915319513
2104.969565217391,3989.661105232536,172.37249784841774,0.0,-9.094947017729282e-13,1907.6427107950608,0.0,16728.65209044914,6046.725143096098,172.37249784841742
2012.6886956521741,1670.4622936415997,167.25989759944375,0.0,2.5579538487363607e-13,0.0,188.67123388363865,16525.202666715268,1670.4622936416004,167.25989759944346
2102.83,0.015168269999999996,160.66342072431337,252.93941100568594,-2.5579538487363607e-13,0.0,1821.5241448852667,14561.002666715267,0.015168270000000005,160.6634207243131
2333.504347826087,0.015168269999999996,158.8084328015655,485.46874675452125,-3.126388037344441e-13,0.0,1821.5241448852664,12596.802666715266,0.015168270000000005,158.80843280156517
2343.310869565217,0.015168269999999996,159.27121571066115,494.8124855845556,-3.126388037344441e-13,0.0,1821.5241448852664,10632.602666715266,0.015168270000000005,159.27121571066084
2281.510869565217,0.015168269999999996,161.3984453291307,430.8852559660859,-3.126388037344441e-13,0.0,1821.5241448852662,8668.402666715265,0.015168270000000005,161.3984453291304
2178.3760869565217,0.015168269999999996,166.0849709695829,323.06394771693874,-3.126388037344441e-13,0.0,1821.5241448852653,6704.202666715265,0.015168270000000005,166.0849709695826
2060.5152173913048,0.015168269999999996,164.7570182063829,206.53103091492227,-2.8421709430404007e-13,0.0,1821.5241448852657,4740.002666715265,0.015168270000000005,164.7570182063826
1903.900434782609,0.015168269999999996,169.67859208233074,46.82951103021418,-3.126388037344441e-13,0.0,1819.5455896958033,2777.9361976454234,0.015168270000000005,169.67859208233043
1781.0182608695652,0.015168269999999996,170.04391748363508,1299.3100000000002,-3.410605131648481e-13,0.0,336.05994819314736,2415.553435882714,0.015168270000000005,170.04391748363474
1709.924347826087,0.015168269999999996,162.4733531820003,1299.3100000000002,-3.410605131648481e-13,0.0,267.560959613126,2127.0350331221484,0.015168270000000005,162.47335318199998
1653.576956521739,0.015168269999999996,155.34848423932206,1299.3100000000002,-3.126388037344441e-13,0.0,214.482948709855,1895.7521214798035,0.015168270000000005,155.34848423932175
1636.4660869565218,0.015168269999975337,150.16080399514811,1299.3100000000002,-2.8421709430404007e-13,0.0,201.62584301067793,1678.3333834665784,0.015168270000000005,150.1608039951478
1663.547391304348,0.015168269999999996,150.07462842801766,1299.3100000000002,-2.5579538487363607e-13,0.0,230.92129001246263,1429.3245525289854,0.015168270000000005,150.0746284280174
1760.1452173913042,0.015168269999999996,149.64794000459156,1299.3100000000002,-3.126388037344441e-13,0.0,335.5455146961805,1067.496518672343,0.015168270000000005,149.64794000459128
1935.0578260869568,2.8508220653999987,156.57388583139158,1299.3100000000002,-2.2737367544323206e-13,0.0,513.6324277535465,513.6324277535465,2.850822065399999,156.57388583139135
2171.8034782608697,2434.639083510947,159.3379889957743,0.0,1.5916157281026244e-12,391.50768519082254,0.0,876.7017188049786,2856.8126777567995,159.33798899577394
2434.2382608695652,4024.761337624722,156.69844419612207,0.0,4.774847184307873e-12,1620.306581242191,0.0,2379.3122268230777,5771.982858576006,156.6984441961217
